DrugName,,B,,D,,,E,,,,L,,M,N,,,,R,,
EGGSHELL MEMBRANE,,,,60 CT,,,NOW FOODS,,,,0,,$19.99,$35.00,,,,Winston Salem Sales Tax,,
MEN'S EXTREME MULTI,,,,90 cap,,,NOW FOODS,,,,0,,$12.49,$21.00,,,,Winston Salem Sales Tax,,
GINSENG/PANAX,,,,100CAPS,,,LIFE EXTENSION,,,,0,,$6.99,$12.00,,,,Winston Salem Sales Tax,,
DANDELION TEA BAGS,,,,24 BAGS,,,NOW FOODS,,,,0,,$3.33,$6.00,,,,Winston Salem Sales Tax,,
PAU D'ARCO TEA BAGS,,,,24 BAGS,,,NOW FOODS,,,,0,,$2.99,$6.00,,,,Winston Salem Sales Tax,,
CHAMOMILE TEA BAGS,,,,24 BAG,,,NOW FOODS,,,,0,,$3.16,$6.00,,,,Winston Salem Sales Tax,,
ANDROGRAPHIS,,400MG,,90 CAP,,,NOW FOODS,,,,0,,$8.49,$13.00,,,,Winston Salem Sales Tax,,
BUTTERBUR,,75 MG,,60 CAP,,,NOW FOODS,,,,0,,$12.99,$20.00,,,,Winston Salem Sales Tax,,
BLACK COHOSH,,80 MG,,90 CAP,,,NOW FOODS,,,,0,,$6.15,$14.00,,,,Winston Salem Sales Tax,,
CRANBERRY STD 6%,,,,90 CAP,,,NOW FOODS,,,,0,,$8.99,$14.00,,,,Winston Salem Sales Tax,,
CINNAMON BARK,,600MG,,120 CAP,,,NOW FOODS,,,,0,,$7.49,$10.00,,,,Winston Salem Sales Tax,,
DANDELION,,500 MG,,100 CAPS,,,NOW FOODS,,,,0,,$4.99,$9.00,,,,Winston Salem Sales Tax,,
FEVERFEW,,,,100 CAP,,,NOW FOODS,,,,0,,$8.99,$15.00,,,,Winston Salem Sales Tax,,
FO-TI,,560 MG,,100 CAP,,,EMERSON,,,,0,,$3.59,$8.00,,,,Winston Salem Sales Tax,,
FENUGREEK,,500 MG,,100 CAP,,,NOW FOODS,,,,0,,$4.99,$10.00,,,,Winston Salem Sales Tax,,
GINKO BILOBA,,60 MG,,60 CAP,,,NOW FOODS,,,,0,,$5.99,$11.00,,,,Winston Salem Sales Tax,,
GINGER ROOT,,250MG,,90 CAP,,,NOW FOODS,,,,0,,$6.49,$10.00,,,,Winston Salem Sales Tax,,
EGCG,,400 MG,,90 CAP,,,NOW FOODS,,,,0,,$8.49,$16.00,,,,Winston Salem Sales Tax,,
GREEN TEA EXT,,400MG,,100 CAP,,,NOW FOODS,,,,0,,$4.49,$10.00,,,,Winston Salem Sales Tax,,
HORSE CHESNUT,,300MG,,90 CAP,,,NOW FOODS,,,,0,,$7.49,$11.00,,,,Winston Salem Sales Tax,,
OLIVE LEAF,,500 MG,,60VCAPS,,,NOW FOODS,,,,0,,$5.98,$10.00,,,,Winston Salem Sales Tax,,
SILYMARIN,,300 MG,,100 CAP,,,NOW FOODS,,,,0,,$10.39,$18.00,,,,Winston Salem Sales Tax,,
SLIPPERY ELM,,400MG,,100 CT,,,NOW FOODS,,,,0,,$4.49,$8.00,,,,Winston Salem Sales Tax,,
RHODIOLA,,500 MG,,60 CT,,,NOW FOODS,,,,0,,$12.74,$19.00,,,,Winston Salem Sales Tax,,
HORNY GOAT WEED,,750MG,,90 CAP,,,NOW FOODS,,,,0,,$9.99,$17.00,,,,Winston Salem Sales Tax,,
VALERIAN ROOT,,500 MG,,60 CAP,,,EMERSON,,,,0,,$18.00,$7.00,,,,Winston Salem Sales Tax,,
VITEX,,300 MG,,90 CAP,,,NOW FOODS,,,,0,,$7.49,$15.00,,,,Winston Salem Sales Tax,,
LIONS MANE,,500 MG,,60 CAP,,,NOW FOODS,,,,0,,$10.00,$20.00,,,,Winston Salem Sales Tax,,
MILK THISTLE,,750 MG,,90CAP,,,NOW FOODS,,,,0,,$13.47,$28.00,,,,Winston Salem Sales Tax,,
BEET ROOT POWDER,,,,12 OZ,,,NOW FOODS,,,,0,,$8.49,$17.00,,,,Winston Salem Sales Tax,,
GINGER SLICES,,,,12OZ,,,NOW FOODS,,,,0,,$4.33,$7.00,,,,Winston Salem Sales Tax,,
MANGO SLICES,,,,10OZ,,,NOW FOODS,,,,0,,$3.99,$7.00,,,,Winston Salem Sales Tax,,
ORG MANGO BITES,,,,8OZ,,,NOW FOODS,,,,0,,$-,$7.00,,,,Winston Salem Sales Tax,,
ORGANIC HEMP PROTEIN,,,,12OZ,,,NOW FOODS,,,,0,,$8.66,$13.00,,,,Winston Salem Sales Tax,,
PSYLLIUM HUSK,,,,12 OZ,,,NOW FOODS,,,,0,,$8.39,$14.00,,,,Winston Salem Sales Tax,,
PSYLLIUM,,700 MG,,180 CAPS,,,NOW FOODS,,,,0,,$8.49,$15.00,,,,Winston Salem Sales Tax,,
WHOLE PSYLLIUM HUSK,,,,,,,NOW FOODS,,,,0,,$13.79,$28.00,,,,Winston Salem Sales Tax,,
ORG HEMP HEARTS,,,,8OZ,,,NOW FOODS,,,,0,,$6.69,$9.00,,,,Winston Salem Sales Tax,,
MONK FRUIT,,,,2OZ,,,NOW FOODS,,,,0,,$4.94,$10.00,,,,Winston Salem Sales Tax,,
ORG ERYTHRITOL,,,,16 OZ POWDER,,,NOW FOODS,,,,0,,$5.99,$9.00,,,,Winston Salem Sales Tax,,
STEVIA COCONUT,,,,2 FL OZ,,,NOW FOODS,,,,0,,$6.59,$5.00,,,,Winston Salem Sales Tax,,
STEVIA POWDER,,,,1OZ,,,NOW FOODS,,,,0,,$4.15,$7.00,,,,Winston Salem Sales Tax,,
STEVIA LIQUID,,,,2OZ,,,NOW FOODS,,,,0,,$6.59,$10.00,,,,Winston Salem Sales Tax,,
LEMON STEVIA LIQUID,,,,,,,NOW FOODS,,,,0,,$4.61,$10.00,,,,Winston Salem Sales Tax,,
SLENDER STICKS ACAI LEMON,,,,,,,NOW FOODS,,,,0,,$3.79,$5.50,,,,Winston Salem Sales Tax,,
SLENDER STICKS POM/BERRY,,,,,,,NOW FOODS,,,,0,,$3.79,$5.50,,,,Winston Salem Sales Tax,,
SLENDER STICKS TROPICAL,,,,,,,NOW FOODS,,,,0,,$3.79,$5.50,,,,Winston Salem Sales Tax,,
MACADAMIA NUTS,,,,,,,NOW FOODS,,,,0,,$8.26,$11.00,,,,Winston Salem Sales Tax,,
TAMARI ALMONDS,,,,7OZ,,,NOW FOODS,,,,0,,$3.79,$6.00,,,,Winston Salem Sales Tax,,
SALTED SUNFLOWER SEEDS,,,,,,,NOW FOODS,,,,0,,$3.33,$5.00,,,,Winston Salem Sales Tax,,
ROASTED CASHEWS,,,,,,,NOW FOODS,,,,0,,$5.69,$8.00,,,,Winston Salem Sales Tax,,
MONK FRUIT VANILLA,,,,,,,NOW FOODS,,,,0,,$8.66,$12.00,,,,Winston Salem Sales Tax,,
RAW MACADAMIA NUTS,,,,,,,NOW FOODS,,,,0,,$8.26,$10.00,,,,Winston Salem Sales Tax,,
BLACK METAL DIFFUSER,,,,,,,NOW FOODS,,,,0,,$29.99,$48.00,,,,Winston Salem Sales Tax,,
GLASS SWIRL DIFFUSER,,,,,,,NOW FOODS,,,,0,,$22.00,$28.00,,,,Winston Salem Sales Tax,,
ALOE GEL,,,,8OZ,,,NOW FOODS,,,,0,,$5.39,$9.00,,,,Winston Salem Sales Tax,,
ORG CASTOR OIL,,,,8OZ,,,NOW FOODS,,,,0,,$4.49,$7.00,,,,Winston Salem Sales Tax,,
TOPICAL COCONUT OIL,,,,,,,NOW FOODS,,,,0,,$4.49,$8.00,,,,Winston Salem Sales Tax,,
GRAPESEED OIL,,,,4OZ,,,AROMA LAND,,,,0,,$2.49,$5.00,,,,Winston Salem Sales Tax,,
JOJOBA OIL,,,,,,,AROMA LAND,,,,0,,$5.84,$12.50,,,,Winston Salem Sales Tax,,
VIT C & SEABUCKTHORN LOTION,,,,,,,NOW FOODS,,,,0,,$6.00,$12.00,,,,Winston Salem Sales Tax,,
ROSE & YLANG YLANG DEO,,,,,,,NOW FOODS,,,,0,,$3.77,$7.00,,,,Winston Salem Sales Tax,,
NOW CEDARWOOD & CYPRESS DEO,,,,,,,NOW FOODS,,,,0,,$3.77,$7.00,,,,Winston Salem Sales Tax,,
VITAMIN D-3 CREAM,,,,4OZ,,,NOW FOODS,,,,0,,$5.54,$11.00,,,,Winston Salem Sales Tax,,
BAMBOO SILICA BEAUTY,,,,90 CAP,,,NOW FOODS,,,,0,,$12.05,$20.00,,,,Winston Salem Sales Tax,,
AVOCADO OIL,,,,16OZ,,,NOW FOODS,,,,0,,$9.33,$14.00,,,,Winston Salem Sales Tax,,
